OTU	12o	7o	2o	11o	4o	5o	13o	6o	1o	14o	3o	9o	15o	10o	8o
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0012819742403301086	0.0053456878118317884	0.0020698267161600443	0.002508968977888245	0.003739656269891789	0.0009530204249604713	0.0019154238107635664	0.0030833515863254203	0.0009661286656058193	0.007351010763980046	0.003985515009963789	0.0036585000149938532	0.0012380068090374495	0.0034029946352790467	0.0040880345730923895
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.4609298319411897	0.23865009761690775	0.4186181768418894	0.4317536989706192	0.4771841183959259	0.2276635837899892	0.2340350355190239	0.5588279894188808	0.18856558308706486	0.17528660190776227	0.6701664916754155	0.6396977239331872	0.3642835035592694	0.5477820482024174	0.5579583187332101
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.00010015423752578972	0.005655582757445226	0.0014711165090063125	0.0011020704856144626	5.967536600891153e-05	0.014035391713054214	0.003049801019079853	0.001061481693653013	0.0015344396453739484	8.751203290452436e-05	4.28550001071375e-05	8.996311512279965e-05	0.006190034045187249	0.0008207222355672991	0.0024027631776543023
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0013220359353404245	0.0146425361802349	0.0008039822781778683	0.000586207705114076	0.0003978357733927435	0.0007364248738330915	0.0006508721687060661	0.0017185894087715454	0.004925361824657118	0.00026253609871357313	0.00044997750112494363	0.0011395327915554624	0.005261528938409161	0.00040035231003282887	0.0053728454389214255
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	0.0	0.0003253896928941089	0.00027369609469884884	0.0	0.0	0.0	0.0	0.0	0.000985072364931424	0.0	0.0	2.9987705040933214e-05	0.0	0.0	1.6685855400377098e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.05147927808825594	0.017447085438036518	0.018440274380334947	0.0068938026121415355	0.016172024188415023	0.02211440577010548	0.02757838360545989	0.002965409175919529	0.024266878836099126	0.06265861555963946	0.009728085024320212	0.002399016403274657	0.009904054472299596	0.007346464889102413	0.0056565049807278354
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0.0	0.004834361151569618	1.710600591867805e-05	0.0001641381574319413	0.000795671546785487	8.663822045095193e-05	0.0009856064268977574	0.00013479132617816045	0.0005683109797681293	0.0	8.5710000214275e-05	0.0	0.0	0.0010008807750820725	0.0002002302648045252
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	0.0020832081405364267	0.02539589079302117	0.00013684804734942442	0.0	0.0	0.007385908293443653	0.005616096998549485	0.0024262438712068877	0.008145790710009851	0.0	0.00019284750048211875	0.00047980328065493153	0.0	0.003703258867803667	0.004004605296090504
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.00022033932255673735	0.00012395797824537482	0.00360936724884107	0.0002110347738410674	0.0003182686187141948	0.0001299573306764279	0.00018596347677316176	0.00020218698926724064	0.00011366219595362583	0.00026253609871357313	0.0002785575006963937	0.0003898401655321319	0.0018570102135561746	0.000180158539514773	0.0002169161202049024
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0008014035391713054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.11780141417783388	0.07635811459915091	0.0421663045895414	0.022088306328698376	0.05283259070655635	0.1461153587905305	0.0849481161899802	0.040774376168893546	0.11836023338637575	0.06747177736938828	0.08776704021941761	0.07496926260233303	0.051996285979572905	0.11404035551285133	0.05137574877776112
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]	0.0	0.003780718336483932	0.0	0.0	0.0	0.001841062184582729	0.0007438539070926469	0.0001179424104058904	0.0006630294763961506	0.0	0.0	0.00020991393528653246	0.0	0.0006405636960525263	0.0003170312526071649
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.0020231155980209524	0.026465028355387527	0.019244256658512805	0.002016554505592421	0.009886218968809677	0.008187311832614959	0.015156023357012684	0.0026958265235632085	0.014283549291505647	0.00761354686269362	0.0004928325012320811	0.0026089303385611893	0.0	0.013191608615581713	0.005906792811733493
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	0.0005208020351341067	0.014766494158480276	0.008775381036281837	0.0026262105189110607	0.007041693189051559	0.0032922523771361733	0.019098449064603715	0.002325150376573268	0.007596423429567327	0.0	0.0001285650003214125	0.0035085614897891865	0.0	0.014112418928657219	0.012564449116483958
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__	0.0	0.0	1.710600591867805e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Caldicellulosiruptoraceae	0.0	0.0	0.0	9.379323281825216e-05	0.0	0.0	0.00014877078141852938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.0019229613604951625	0.0024481700703461533	0.0022750987871841804	0.00032827631486388254	0.005689051559516232	0.0005848079880439256	0.0010971845129616547	0.0007413522939798822	0.006346139274077442	0.007876082961407193	0.00034284000085709994	0.0014094221369238614	0.001547508511296812	0.00540475618544319	0.0018187582386411038
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.008853634597279813	0.052093340357618784	0.03867667938213107	0.0680704387178465	0.12181731381285806	0.05798262903679958	0.08628705322274706	0.011726845377499956	0.08291657194817004	0.01242670867244246	0.002699865006749663	0.005547725432572645	0.0	0.0401353190807911	0.05055814186314261
